,,,,,,Travel Time,,,,Weather,,,,,,,,,,,,,,,,
Costa Blanca,Spain,Vast,,600,Full Range,4-6 hours,Alicante,4 days,,,,,,,,,,,,,,"https://www.libreriadesnivel.com/libros/ponotx-guia-de-escalada/9788461536962/
http://www.senderosdealicante.com/es/trail/TouristTrip:e7cf6a68_2fef_4e44_bb40_a385fd1ef83f",,2h,,
Zádiel ,Slovakia,Smaller,,110,Hard,,,5 days,,,,,,,,,,,,,,https://www.climbing-guide.eu/climbing-guidebook-rp-v-zadieli-11352/,,2h,,
Calanques,France ,Large,,,Medium to Hard,,,,,,,,,,,,,,,,,,,2h,,
Gredos,Spain,Large,,,Full Range,6-8 hours,Madrid,,,,,,,,,,,,,,,,,2h,,
Sicilly,Italy,Moderate,,,Full Range,,,,,,,,,,,,,,,,,,,2h,,
Campanile Basso,Italy,Large,,300,Full Range,,,4 days,,,,,,,,,,,,,,https://www.summitpost.org/campanile-basso-normal-route/156824,,2h,,
Mont Blonc,France ,Vast,,,Medium to Hard,,,6 days ,,,,,,,,,,,,,,https://www.ukclimbing.com/logbook/crags/aiguille_de_blaitiere-2881/nabot-leon-47845,,2h,,
Spitzkoppe,Namibia,Smaller,,,Full Range,12-24 hours,,10 days,,,,,,,,,,,,,,,,2h,,
Hoy,Scotland,Smaller,,140,Hard,,,,,,,,,,,,,,,,,,,1h,,
Isle of White,England,Smaller,,160,Hard,4-6 hours,Yarmouth,,,,,,,,,,,,,,,https://www.ukclimbing.com/news/2025/06/bmc_re-negotiates_access_to_skeleton_ridge_on_the_isle_of_wight-73985,,1h,,
Devon,England,Moderate,,,Full Range,< 4 hours,,,,,,,,,,,,,,,,,,,,
Cornwall,England,Moderate,,,Full Range,4-6 hours,,,,,,,,,,,,,,,,,,,,
Lundy,England,Moderate,,,Full Range,,,,,,,,,,,,,,,,,,,,,
Carcassonne ,France ,Large,,700,Hard,,Carcassonne,,,,,,,,,,,,,,,,,,,
Medina ,Portugal,Moderate,,,Medium to Hard,6-8 hours,Porto,,,,,,,,,,,,,,,,,,,
Aladaglar,Turkey,Vast,,600,,,"Kayseri Erkilet Airport (ASR) / Adana Şakirpaşa Airport (ADA), ",,,,,,,,,,,,,,,https://publications.americanalpineclub.org/articles/13201215101/Turkey-Recent-Rock-and-Alpine-Routes,,,,
